,county_name,county_total,party,party_perc
0,Appling County,7005,REP,78.42969307637402
1,Appling County,7005,DEM,20.471092077087793
3,Atkinson County,2610,REP,71.95402298850576
4,Atkinson County,2610,DEM,26.70498084291188
6,Bacon County,4019,REP,83.7024135357054
7,Bacon County,4019,DEM,15.128141328688729
9,Baker County,1440,REP,53.81944444444444
10,Baker County,1440,DEM,45.13888888888889
12,Baldwin County,16086,REP,47.849061295536494
13,Baldwin County,16086,DEM,49.5461892328733
15,Banks County,6950,REP,88.2589928057554
16,Banks County,6950,DEM,9.841726618705037
18,Barrow County,28831,REP,73.21286115639415
19,Barrow County,28831,DEM,22.822656168707294
21,Bartow County,39306,REP,76.09779677402942
22,Bartow County,39306,DEM,20.892484607947896
24,Ben Hill County,5931,REP,63.04164559096274
25,Ben Hill County,5931,DEM,35.424043163041645
27,Berrien County,6584,REP,82.35115431348724
28,Berrien County,6584,DEM,15.902187120291616
30,Bibb County,62277,REP,38.606548163848615
31,Bibb County,62277,DEM,59.06996162307112
33,Bleckley County,4943,REP,75.23770989277766
34,Bleckley County,4943,DEM,22.273922718996563
36,Brantley County,6292,REP,88.47743165924985
37,Brantley County,6292,DEM,9.837889383343928
39,Brooks County,6318,REP,58.57866413421969
40,Brooks County,6318,DEM,40.01266223488445
42,Bryan County,15085,REP,69.79781239642028
43,Bryan County,15085,DEM,26.609214451441833
45,Bulloch County,25248,REP,59.79483523447402
46,Bulloch County,25248,DEM,36.68013307984791
48,Burke County,9351,REP,48.0269489894129
49,Burke County,9351,DEM,50.5935194096888
51,Butts County,9477,REP,70.87685976574866
52,Butts County,9477,DEM,27.07607892793078
54,Calhoun County,2025,REP,40.98765432098765
55,Calhoun County,2025,DEM,58.22222222222222
57,Camden County,18869,REP,65.23928136096242
58,Camden County,18869,DEM,31.427208649107
60,Candler County,3763,REP,70.79457879351581
61,Candler County,3763,DEM,27.265479670475685
63,Carroll County,43839,REP,68.49836903214033
64,Carroll County,43839,DEM,28.431305458609913
66,Catoosa County,26528,REP,78.69420989143546
67,Catoosa County,26528,DEM,17.984770808202654
69,Charlton County,4009,REP,73.60937889748067
70,Charlton County,4009,DEM,25.043651783487153
72,Chatham County,111481,REP,40.982768364115856
73,Chatham County,111481,DEM,55.874992151128886
75,Chattahoochee County,1390,REP,54.02877697841727
76,Chattahoochee County,1390,DEM,42.73381294964029
78,Chattooga County,8252,REP,78.30828889966068
79,Chattooga County,8252,DEM,19.546776539020843
81,Cherokee County,110895,REP,72.72555119707832
82,Cherokee County,110895,DEM,22.752152937463364
84,Clarke County,44339,REP,28.681296375651232
85,Clarke County,44339,DEM,66.76515031913213
87,Clay County,1271,REP,44.531864673485444
88,Clay County,1271,DEM,54.83870967741935
90,Clayton County,92512,REP,13.668497059840886
91,Clayton County,92512,DEM,84.55119335869942
93,Clinch County,2447,REP,70.57621577441765
94,Clinch County,2447,DEM,28.034327748263177
96,Cobb County,327499,REP,46.69082959031936
97,Cobb County,327499,DEM,48.89205768567233
99,Coffee County,13915,REP,68.90406036651096
100,Coffee County,13915,DEM,29.421487603305785
102,Colquitt County,13601,REP,72.77406073082861
103,Colquitt County,13601,DEM,25.461363135063596
105,Columbia County,64242,REP,67.06671647831637
106,Columbia County,64242,DEM,29.399769621120143
108,Cook County,6041,REP,69.12762787617945
109,Cook County,6041,DEM,29.01837444131766
111,Coweta County,61351,REP,69.3273133282261
112,Coweta County,61351,DEM,27.029714267086113
114,Crawford County,5162,REP,70.41844246416117
115,Crawford County,5162,DEM,27.52808988764045
117,Crisp County,7512,REP,60.55644302449414
118,Crisp County,7512,DEM,37.76624068157615
120,Dade County,6242,REP,80.91957705863506
121,Dade County,6242,DEM,15.459788529317525
123,Dawson County,11704,REP,84.58646616541353
124,Dawson County,11704,DEM,12.371838687628161
126,Decatur County,10270,REP,58.61733203505355
127,Decatur County,10270,DEM,40.15579357351509
129,DeKalb County,312504,REP,16.469549189770373
130,DeKalb County,312504,DEM,80.43737040165885
132,Dodge County,6998,REP,71.74907116318948
133,Dodge County,6998,DEM,26.278936839096882
135,Dooly County,3859,REP,50.55713915522156
136,Dooly County,3859,DEM,48.50997667789583
138,Dougherty County,34018,REP,30.078193897348466
139,Dougherty County,34018,DEM,68.52548650714327
141,Douglas County,57416,REP,43.22314337466908
142,Douglas County,57416,DEM,54.00062700292602
144,Early County,4785,REP,53.333333333333336
145,Early County,4785,DEM,45.30825496342737
147,Echols County,1176,REP,85.62925170068027
148,Echols County,1176,DEM,13.26530612244898
150,Effingham County,23406,REP,76.36503460651114
151,Effingham County,23406,DEM,20.73399982910365
153,Elbert County,7970,REP,66.39899623588457
154,Elbert County,7970,DEM,31.856963613550814
156,Emanuel County,7845,REP,68.0050987890376
157,Emanuel County,7845,DEM,31.03887826641173
159,Evans County,3602,REP,66.74069961132703
160,Evans County,3602,DEM,31.371460299833426
162,Fannin County,11777,REP,81.78653307293878
163,Fannin County,11777,DEM,16.32843678356118
165,Fayette County,60435,REP,57.99288491768016
166,Fayette County,60435,DEM,38.527343426822206
168,Floyd County,34357,REP,70.18657042233023
169,Floyd County,34357,DEM,26.65832290362954
171,Forsyth County,97404,REP,71.71266067101966
172,Forsyth County,97404,DEM,24.087306476120077
174,Franklin County,8474,REP,83.24286051451499
175,Franklin County,8474,DEM,14.668397451026669
177,Fulton County,430599,REP,27.353291577546628
178,Fulton County,430599,DEM,68.98552946012416
180,Gilmer County,12735,REP,82.26933647428348
181,Gilmer County,12735,DEM,15.429917550058892
183,Glascock County,1390,REP,88.84892086330936
184,Glascock County,1390,DEM,9.928057553956835
186,Glynn County,34112,REP,63.062851782363985
187,Glynn County,34112,DEM,34.518644465290805
189,Gordon County,18879,REP,80.46506700566766
190,Gordon County,18879,DEM,16.849409396684145
192,Grady County,9201,REP,65.78632757308989
193,Grady County,9201,DEM,32.74644060428214
195,Greene County,8840,REP,62.10407239819005
196,Greene County,8840,DEM,36.18778280542986
198,Gwinnett County,325636,REP,45.13905096488104
199,Gwinnett County,325636,DEM,51.02414966404206
201,Habersham County,16134,REP,81.75282013139953
202,Habersham County,16134,DEM,15.389859923143673
204,Hall County,70220,REP,73.67274280831671
205,Hall County,70220,DEM,23.04186841355739
207,Hancock County,3580,REP,23.54748603351955
208,Hancock County,3580,DEM,75.44692737430168
210,Haralson County,11324,REP,84.64323560579301
211,Haralson County,11324,DEM,13.025432709290003
213,Harris County,16401,REP,72.77605024083897
214,Harris County,16401,DEM,24.913115053960126
216,Hart County,10080,REP,72.28174603174602
217,Hart County,10080,DEM,25.64484126984127
219,Heard County,4206,REP,80.12363290537327
220,Heard County,4206,DEM,17.66524013314313
222,Henry County,98286,REP,46.5213763913477
223,Henry County,98286,DEM,50.92993915715361
225,Houston County,59744,REP,59.30302624531334
226,Houston County,59744,DEM,37.74939742903053
228,Irwin County,3665,REP,74.10641200545702
229,Irwin County,3665,DEM,24.31105047748977
231,Jackson County,27109,REP,80.35707698550297
232,Jackson County,27109,DEM,16.566453945184257
234,Jasper County,6023,REP,72.38917482981903
235,Jasper County,6023,DEM,25.635065581935912
237,Jeff Davis County,5091,REP,80.61284619917501
238,Jeff Davis County,5091,DEM,17.69789825181693
240,Jefferson County,6954,REP,44.04659188955996
241,Jefferson County,6954,DEM,54.946793212539546
243,Jenkins County,3052,REP,62.09043250327654
244,Jenkins County,3052,DEM,36.79554390563565
246,Johnson County,3682,REP,68.41390548614883
247,Johnson County,3682,DEM,30.85279739272135
249,Jones County,12526,REP,66.30209164936932
250,Jones County,12526,DEM,31.62222577039757
252,Lamar County,7586,REP,68.4155022409702
253,Lamar County,7586,DEM,29.92354336936462
255,Lanier County,2863,REP,69.29793922458958
256,Lanier County,2863,DEM,28.152287809989524
258,Laurens County,19476,REP,63.724584103512015
259,Laurens County,19476,DEM,34.66830971452043
261,Lee County,14115,REP,75.42330853701735
262,Lee County,14115,DEM,22.458377612469004
264,Liberty County,16117,REP,38.05919215734938
265,Liberty County,16117,DEM,59.291431407830245
267,Lincoln County,4102,REP,67.25987323256948
268,Lincoln County,4102,DEM,31.033642125792298
270,Long County,4117,REP,63.784308962837024
271,Long County,4117,DEM,33.03376244838475
273,Lowndes County,37628,REP,57.49707664505156
274,Lowndes County,37628,DEM,40.03401722121824
276,Lumpkin County,12334,REP,77.98767634181935
277,Lumpkin County,12334,DEM,17.99902707961732
279,Macon County,4287,REP,35.922556566363426
280,Macon County,4287,DEM,63.097737345463024
282,Madison County,11954,REP,76.97005186548435
283,Madison County,11954,DEM,20.286096704032122
285,Marion County,3183,REP,60.351869305686456
286,Marion County,3183,DEM,38.10870248193528
288,McDuffie County,9268,REP,58.610271903323266
289,McDuffie County,9268,DEM,39.91152352179543
291,McIntosh County,5903,REP,59.07165847873962
292,McIntosh County,5903,DEM,39.01406064712858
294,Meriwether County,9191,REP,56.816450875856816
295,Meriwether County,9191,DEM,41.38831465564139
297,Miller County,2544,REP,74.33176100628931
298,Miller County,2544,DEM,24.488993710691823
300,Mitchell County,7865,REP,54.40559440559441
301,Mitchell County,7865,DEM,44.41195168467896
303,Monroe County,12687,REP,69.61456609127453
304,Monroe County,12687,DEM,28.14692204618901
306,Montgomery County,3562,REP,74.95788882650196
307,Montgomery County,3562,DEM,23.77877596855699
309,Morgan County,9440,REP,69.48093220338983
310,Morgan County,9440,DEM,28.20974576271186
312,Murray County,12424,REP,83.23406310367032
313,Murray County,12424,DEM,14.488087572440438
315,Muscogee County,68658,REP,39.29039587520755
316,Muscogee County,68658,DEM,58.0427626787847
318,Newton County,43803,REP,47.74330525306486
319,Newton County,43803,DEM,50.094742369244116
321,Oconee County,19931,REP,67.35738297125081
322,Oconee County,19931,DEM,28.00160553910993
324,Oglethorpe County,6655,REP,69.49661908339594
325,Oglethorpe County,6655,DEM,27.513148009015776
327,Paulding County,64641,REP,69.0923717145465
328,Paulding County,64641,DEM,27.884779010225706
330,Peach County,10724,REP,50.47556881760538
331,Peach County,10724,DEM,47.55688176053711
333,Pickens County,13984,REP,83.316647597254
334,Pickens County,13984,DEM,14.151887871853546
336,Pierce County,7298,REP,86.35242532200603
337,Pierce County,7298,DEM,12.373252946012606
339,Pike County,8681,REP,83.83826748070499
340,Pike County,8681,DEM,14.284068655684829
342,Polk County,14170,REP,77.72759350741002
343,Polk County,14170,DEM,20.23288637967537
345,Pulaski County,3599,REP,67.71325368157821
346,Pulaski County,3599,DEM,30.675187552097803
348,Putnam County,9472,REP,69.08783783783784
349,Putnam County,9472,DEM,29.117398648648653
351,Quitman County,1044,REP,55.07662835249042
352,Quitman County,1044,DEM,44.157088122605366
354,Rabun County,7950,REP,79.08176100628931
355,Rabun County,7950,DEM,18.163522012578618
357,Randolph County,2897,REP,43.872972040041425
358,Randolph County,2897,DEM,55.16051087331723
360,Richmond County,75086,REP,32.5773113496524
361,Richmond County,75086,DEM,65.01078763018405
363,Rockdale County,37656,REP,35.79243679626089
364,Rockdale County,37656,DEM,61.756426598682815
366,Schley County,1909,REP,77.10843373493977
367,Schley County,1909,DEM,21.00576217915139
369,Screven County,5699,REP,57.99263028601509
370,Screven County,5699,DEM,40.35795753640989
372,Seminole County,3582,REP,65.46621998883305
373,Seminole County,3582,DEM,33.193746510329426
375,Spalding County,25600,REP,61.1171875
376,Spalding County,25600,DEM,36.55078125
378,Stephens County,9766,REP,78.70161785787427
379,Stephens County,9766,DEM,18.810157689944706
381,Stewart County,2055,REP,39.17274939172749
382,Stewart County,2055,DEM,59.4647201946472
384,Sumter County,10974,REP,48.07727355567705
385,Sumter County,10974,DEM,50.30071077091307
387,Talbot County,3244,REP,36.86806411837238
388,Talbot County,3244,DEM,61.713933415536374
390,Taliaferro County,897,REP,38.90746934225195
391,Taliaferro County,897,DEM,60.758082497212925
393,Tattnall County,6886,REP,74.00522799883822
394,Tattnall County,6886,DEM,24.41185013069997
396,Taylor County,3405,REP,60.61674008810572
397,Taylor County,3405,DEM,38.06167400881058
399,Telfair County,3795,REP,64.55862977602108
400,Telfair County,3795,DEM,34.59815546772069
402,Terrell County,4181,REP,44.82181296340588
403,Terrell County,4181,DEM,54.221478115283425
405,Thomas County,18738,REP,59.92101611698154
406,Thomas County,18738,DEM,38.115060305262034
408,Tift County,14175,REP,67.61199294532628
409,Tift County,14175,DEM,30.666666666666664
411,Toombs County,9111,REP,72.60454395785314
412,Toombs County,9111,DEM,25.661288552299418
414,Towns County,6739,REP,79.87832022555276
415,Towns County,6739,DEM,17.95518622941089
417,Treutlen County,2703,REP,66.92563817980022
418,Treutlen County,2703,DEM,31.89049204587495
420,Troup County,26024,REP,60.52105748539809
421,Troup County,26024,DEM,37.32324008607439
423,Turner County,3394,REP,61.72657631113731
424,Turner County,3394,DEM,36.71184443134944
426,Twiggs County,4056,REP,50.172583826429985
427,Twiggs County,4056,DEM,48.59467455621302
429,Union County,12044,REP,81.80006642311525
430,Union County,12044,DEM,16.298571903022253
432,Upson County,10934,REP,66.69105542344978
433,Upson County,10934,DEM,31.781598683007132
435,Walker County,23956,REP,79.10335615294707
436,Walker County,23956,DEM,17.594757054600098
438,Walton County,40472,REP,76.90502075508994
439,Walton County,40472,DEM,20.488238782368057
441,Ware County,12159,REP,70.01398141294514
442,Ware County,12159,DEM,28.2918003125257
444,Warren County,2333,REP,42.477496785255035
445,Warren County,2333,DEM,56.322331761680246
447,Washington County,8447,REP,49.118030069847286
448,Washington County,8447,DEM,49.72179472001894
450,Wayne County,10386,REP,78.4999037165415
451,Wayne County,10386,DEM,19.651453880223375
453,Webster County,1116,REP,56.451612903225815
454,Webster County,1116,DEM,42.38351254480286
456,Wheeler County,2102,REP,67.60228353948621
457,Wheeler County,2102,DEM,30.73263558515699
459,White County,11783,REP,82.83968429092761
460,White County,11783,DEM,14.20690825765934
462,Whitfield County,30398,REP,70.85005592473189
463,Whitfield County,30398,DEM,26.110270412527143
465,Wilcox County,2973,REP,70.5011772620249
466,Wilcox County,2973,DEM,28.65792129162462
468,Wilkes County,4477,REP,57.449184721912
469,Wilkes County,4477,DEM,41.27764127764127
471,Wilkinson County,4278,REP,54.53482935951379
472,Wilkinson County,4278,DEM,44.273024777933614
474,Worth County,8280,REP,74.29951690821255
475,Worth County,8280,DEM,24.396135265700483
